plot_in_fieldnote	plot	id	location	spptype	plot_type	area	l	date	time	id	spp	subtype	subtype_code	on	height	nnid	nnspp	nntype	nntype2	nndheight	projdis	actudis	adfil	meanf	meanbt	meanpr	meanpp	meand	ipi	overlap	fil
6	4	1	vnp	sym	ginger closed	75	40	8/13/16	10:45	1	c	g	1	dead ginger	40	3	p	het	het	20	0.35	0.4	1								1
6	4	2	vnp	sym	ginger closed	75	40	8/13/16	10:45	2	p	f	0	treefern	122	11	p	con	conp	78	1.4	1.6	0								1
6	4	3	vnp	sym	ginger closed	75	40	8/13/16	10:45	3	p	g	1	dead ginger	20	1	c	het	het	20	0.35	0.4	1								1
6	4	4	vnp	sym	ginger closed	75	40	8/13/16	10:45	4	p	f	0	treefern	33	1	c	het	het	7	0.54	0.55	1								1
6	4	5	vnp	sym	ginger closed	75	40	8/13/16	10:45	5	c	t	2	litter	0	4	p	het	het	33	1.43	1.47	0								1
6	4	6	vnp	sym	ginger closed	75	40	8/13/16	10:45	6	c	g	1	dead ginger	26	8	p	het	het	5	0.63	0.63	1								1
6	4	7	vnp	sym	ginger closed	75	40	8/13/16	10:45	7	c	g	1	litter	0	10	c	con	conc	70	1.47	1.63	0								1
6	4	8	vnp	sym	ginger closed	75	40	8/13/16	10:45	8	p	g	1	litter	21	6	c	het	het	5	0.63	0.63	1								1
6	4	9	vnp	sym	ginger closed	75	40	8/13/16	10:45	9	p	g	1	treefern	106	2	p	con	conp	16	3.27	3.27	1								1
6	4	10	vnp	sym	ginger closed	75	40	8/13/16	10:45	10	c	g	1	dead ginger	70	12	c	con	conc	19	1.58	1.59	0								1
6	4	11	vnp	sym	ginger closed	75	40	8/13/16	10:45	11	p	f	0	treefern	44	3	p	con	conp	24	0.45	0.51	0								1
6	4	12	vnp	sym	ginger closed	75	40	8/13/16	10:45	12	c	g	1	dead ginger	51	10	c	con	conc	19	1.58	1.59	0								1
6	4	13	vnp	sym	ginger closed	75	40	8/13/16	10:45	13	c	t	2	litter	122	10	c	con	conc	52	0.58	0.78	0								1
